date,location,location_level,demog,demog_cat,metric_cat,metric,value
2021-12-11,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.46852
2021-12-11,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,2976.71622
2021-12-11,CA,state,race_ethnicity,Latino,cases,cases_week_rate,90.93203
2021-12-11,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.04961
2021-12-11,CA,state,race_ethnicity,Latino,tests,tests_week_rate,4233.34434
2021-12-11,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,46.68982
2021-12-11,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.90222
2021-12-11,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,580.69049
2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,194.51669
2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
2021-12-11,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,6090.43553
2021-12-11,CA,state,race_ethnicity,White,cases,cases_week_rate,82.04946
2021-12-11,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.3068
2021-12-11,CA,state,race_ethnicity,White,tests,tests_week_rate,3050.93982
2021-12-18,CA,state,race_ethnicity,African American,cases,cases_week_rate,169.82348
2021-12-18,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.58753
2021-12-18,CA,state,race_ethnicity,African American,tests,tests_week_rate,3683.76989
2021-12-18,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,145.98469
2021-12-18,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.485
2021-12-18,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,2843.06403
2021-12-18,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,87.43596
2021-12-18,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.38774
2021-12-18,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,3020.91888
2021-12-18,CA,state,race_ethnicity,Latino,cases,cases_week_rate,117.76748
2021-12-18,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.17761
2021-12-18,CA,state,race_ethnicity,Latino,tests,tests_week_rate,3931.44078
2021-12-18,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,79.05691
2021-12-18,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.90222
2021-12-18,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,586.1038
2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,279.24934
2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
2021-12-18,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,6268.00569
2021-12-18,CA,state,race_ethnicity,White,cases,cases_week_rate,137.68382
2021-12-18,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.5246
2021-12-18,CA,state,race_ethnicity,White,tests,tests_week_rate,3204.54348
2021-12-25,CA,state,race_ethnicity,African American,cases,cases_week_rate,448.39246
2021-12-25,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,1.33686
2021-12-25,CA,state,race_ethnicity,African American,tests,tests_week_rate,3458.5919
2021-12-25,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,263.35445
2021-12-25,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,2.42499
2021-12-25,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,2473.00981
2021-12-25,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,269.88502
2021-12-25,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.48468
2021-12-25,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,3031.7272
2021-12-25,CA,state,race_ethnicity,Latino,cases,cases_week_rate,281.19937
2021-12-25,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.27361
2021-12-25,CA,state,race_ethnicity,Latino,tests,tests_week_rate,1941.67537
2021-12-25,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,130.14504
2021-12-25,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.015
2021-12-25,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,473.55202
2021-12-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,908.48137
2021-12-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,4.42083
2021-12-25,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,7515.41766
2021-12-25,CA,state,race_ethnicity,White,cases,cases_week_rate,311.93087
2021-12-25,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.36125
2021-12-25,CA,state,race_ethnicity,White,tests,tests_week_rate,2940.80773
2022-01-01,CA,state,race_ethnicity,African American,cases,cases_week_rate,1113.56574
2022-01-01,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.1724
2022-01-01,CA,state,race_ethnicity,African American,tests,tests_week_rate,4779.4133
2022-01-01,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,800.24832
2022-01-01,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,0.97
2022-01-01,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,3766.50209
2022-01-01,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,791.65733
2022-01-01,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,0.75933
2022-01-01,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,4855.39381
2022-01-01,CA,state,race_ethnicity,Latino,cases,cases_week_rate,880.01445
2022-01-01,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.23521
2022-01-01,CA,state,race_ethnicity,Latino,tests,tests_week_rate,3254.09698
2022-01-01,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,213.48749
2022-01-01,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,0.90222
2022-01-01,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,686.58841
2022-01-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,3328.88794
2022-01-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,2.21042
2022-01-01,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,13140.92882
2022-01-01,CA,state,race_ethnicity,White,cases,cases_week_rate,690.79449
2022-01-01,CA,state,race_ethnicity,White,deaths,deaths_week_rate,1.55183
2022-01-01,CA,state,race_ethnicity,White,tests,tests_week_rate,3689.18318
2022-01-08,CA,state,race_ethnicity,African American,cases,cases_week_rate,1733.99586
2022-01-08,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,2.79906
2022-01-08,CA,state,race_ethnicity,African American,tests,tests_week_rate,6985.23852
2022-01-08,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,1382.2471
2022-01-08,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,1.94
2022-01-08,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,5567.30331
2022-01-08,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,1366.16264
2022-01-08,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.2117
2022-01-08,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,8214.47272
2022-01-08,CA,state,race_ethnicity,Latino,cases,cases_week_rate,1853.96257
2022-01-08,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,1.97122
2022-01-08,CA,state,race_ethnicity,Latino,tests,tests_week_rate,7279.31782
2022-01-08,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,334.49757
2022-01-08,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,1.57888
2022-01-08,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,1341.48638
2022-01-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,5276.26528
2022-01-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,5.15764
2022-01-08,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,20474.35548
2022-01-08,CA,state,race_ethnicity,White,cases,cases_week_rate,1063.10369
2022-01-08,CA,state,race_ethnicity,White,deaths,deaths_week_rate,2.51151
2022-01-08,CA,state,race_ethnicity,White,tests,tests_week_rate,5659.82669
2022-01-15,CA,state,race_ethnicity,African American,cases,cases_week_rate,1332.10119
2022-01-15,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,4.47014
2022-01-15,CA,state,race_ethnicity,African American,tests,tests_week_rate,6414.31413
2022-01-15,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,1331.3222
2022-01-15,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,2.42499
2022-01-15,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,5756.93791
2022-01-15,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,1017.96977
2022-01-15,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,1.79331
2022-01-15,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,6966.91085
2022-01-15,CA,state,race_ethnicity,Latino,cases,cases_week_rate,1690.89548
2022-01-15,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,2.96323
2022-01-15,CA,state,race_ethnicity,Latino,tests,tests_week_rate,7389.69963
2022-01-15,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,236.49407
2022-01-15,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,2.36832
2022-01-15,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,1175.7037
2022-01-15,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,3760.65605
2022-01-15,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,5.89445
2022-01-15,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,15988.68267
2022-01-15,CA,state,race_ethnicity,White,cases,cases_week_rate,904.60633
2022-01-15,CA,state,race_ethnicity,White,deaths,deaths_week_rate,3.61412
2022-01-15,CA,state,race_ethnicity,White,tests,tests_week_rate,5262.44324
2022-01-22,CA,state,race_ethnicity,African American,cases,cases_week_rate,937.47572
2022-01-22,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,5.93233
2022-01-22,CA,state,race_ethnicity,African American,tests,tests_week_rate,5522.50067
2022-01-22,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,1136.35261
2022-01-22,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,8.72998
2022-01-22,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,4976.57455
2022-01-22,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,767.53651
2022-01-22,CA,state,race_ethnicity,Asian American,deaths,deaths_week_rate,2.52033
2022-01-22,CA,state,race_ethnicity,Asian American,tests,tests_week_rate,6069.4321
2022-01-22,CA,state,race_ethnicity,Latino,cases,cases_week_rate,1276.99089
2022-01-22,CA,state,race_ethnicity,Latino,deaths,deaths_week_rate,4.03204
2022-01-22,CA,state,race_ethnicity,Latino,tests,tests_week_rate,6374.47754
2022-01-22,CA,state,race_ethnicity,Multi-Race,cases,cases_week_rate,181.34595
2022-01-22,CA,state,race_ethnicity,Multi-Race,deaths,deaths_week_rate,3.94721
2022-01-22,CA,state,race_ethnicity,Multi-Race,tests,tests_week_rate,959.39678
2022-01-22,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,cases,cases_week_rate,2569.97812
2022-01-22,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,deaths,deaths_week_rate,10.31528
2022-01-22,CA,state,race_ethnicity,Native Hawaiian and other Pacific Islander,tests,tests_week_rate,12855.04822
2022-01-22,CA,state,race_ethnicity,White,cases,cases_week_rate,709.57296
2022-01-22,CA,state,race_ethnicity,White,deaths,deaths_week_rate,4.73035
2022-01-22,CA,state,race_ethnicity,White,tests,tests_week_rate,4590.7335
2022-01-29,CA,state,race_ethnicity,African American,cases,cases_week_rate,514.85966
2022-01-29,CA,state,race_ethnicity,African American,deaths,deaths_week_rate,6.68432
2022-01-29,CA,state,race_ethnicity,African American,tests,tests_week_rate,4449.75105
2022-01-29,CA,state,race_ethnicity,American Indian,cases,cases_week_rate,711.49351
2022-01-29,CA,state,race_ethnicity,American Indian,deaths,deaths_week_rate,3.87999
2022-01-29,CA,state,race_ethnicity,American Indian,tests,tests_week_rate,4087.57142
2022-01-29,CA,state,race_ethnicity,Asian American,cases,cases_week_rate,455.77529
